campaign_name,channel,data_source,impressions,clicks,spend_usd,conversions,ctr_pct
Automated uniform software,Programmatic,Amazon Ad Server (Sizmek),9336785,944577,3633615.87,87290,10.12
Automated uniform software,Programmatic,StackAdapt,12038561,1180750,4399085.87,109091,9.81
Blog Traffic — Inbound,Organic,Google Display & Video 360,5827759,491366,0.0,47948,8.43
Business-focused zero tolerance architecture,Programmatic,Amazon Ad Server (Sizmek),7176261,719042,2755433.63,66409,10.02
Business-focused zero tolerance architecture,Programmatic,StackAdapt,10124380,1005129,3928673.36,94160,9.93
Centralized modular throughput,Programmatic,Amazon Ad Server (Sizmek),8679662,896853,3402043.76,83148,10.33
Centralized modular throughput,Programmatic,StackAdapt,9613122,945628,3594280.5300000003,86135,9.84
Content Syndication — Organic,Organic,Google Display & Video 360,7187646,614086,0.0,60093,8.54
Cross-platform static hierarchy,Programmatic,Amazon Ad Server (Sizmek),12356414,1216913,4555886.72,110400,9.85
Cross-platform static hierarchy,Programmatic,StackAdapt,9428363,928008,3417940.86,84309,9.84
FB Lead Gen — Mid-Market,Paid Social,Facebook,4382165,162622,864097.03,10925,3.71
FB Lead Gen — Mid-Market,Paid Social,LinkedIn Ads,4154527,161494,874873.74,10441,3.89
Facebook B2B Decision Makers,Paid Social,Facebook,5391621,197199,1087849.58,12745,3.66
Facebook B2B Decision Makers,Paid Social,LinkedIn Ads,3767201,133874,762331.24,8680,3.55
Integrated dedicated contingency,Paid Search,Bing Ads (Microsoft Advertising),7144495,756538,3214770.14,81826,10.59
Integrated dedicated contingency,Paid Search,Google Search Ads 360,8091137,862662,3589758.02,89988,10.66
LinkedIn Sponsored InMail — CXO,Paid Social,Facebook,4664925,176889,978273.55,11394,3.79
LinkedIn Sponsored InMail — CXO,Paid Social,LinkedIn Ads,4181887,142404,768894.67,9261,3.41
Networked value-added time-frame,Paid Search,Bing Ads (Microsoft Advertising),5303854,539288,2285455.04,55768,10.17
Networked value-added time-frame,Paid Search,Google Search Ads 360,6606567,691881,2941877.58,70278,10.47
Organic Social — LinkedIn,Organic,Google Display & Video 360,6937459,593497,0.0,58738,8.55
Persistent 24/7 attitude,Paid Search,Bing Ads (Microsoft Advertising),8940541,947192,4013461.75,98569,10.59
Persistent 24/7 attitude,Paid Search,Google Search Ads 360,8957649,923187,3907032.1,98114,10.31
Profound intangible policy,Paid Search,Bing Ads (Microsoft Advertising),11923021,1237114,5190563.46,127859,10.38
Profound intangible policy,Paid Search,Google Search Ads 360,8478165,865888,3681154.37,89843,10.21
Q1 LinkedIn Enterprise Outreach,Paid Social,Facebook,4114379,149889,817696.98,9586,3.64
Q1 LinkedIn Enterprise Outreach,Paid Social,LinkedIn Ads,4605868,180092,991589.17,12121,3.91
SEO — Brand Awareness,Organic,Google Display & Video 360,6559593,566688,0.0,56146,8.64
